Title,Start,End,Duration,Created by,Description,Where,Calendar
West Oak - CLOSED FOR RENTAL,03/10/2014 09:00,03/10/2014 19:00,10:00,Calgary Brown,"This conference room is closed for rental due to poor sound proofing issues.  It cannot be rented simultaneously with East Oakland.  Staff is working on fixing the issue so that it can be available to rent soon. 

Questions, please contact: calgary@oakland.impacthub.net ",West Oakland Conference Room,Conference Room
KITCHEN - Power Juice Bar IHO Members Week,03/10/2014 09:00,03/10/2014 11:00,02:00,Calgary Brown,"Power Juice Bar
9am-11:00am
Kitchen at Impact Hub Oakland
FREE FOR MEMBERS

Need a strong start to your week? We got you. We’ve brought in SoS smoothies to live juice some of the freshest ingredients to help our members focus and power through those to-do lists that miraculously piled up over the weekend. Come have a fresh green smoothie or berry ginger concoction at our Power Juice Bar.",Kitchen,HUB Oakland Events
HUB Oak Staff Meeting - UPTOWN,03/10/2014 10:00,03/10/2014 12:00,02:00,Tatiana Vekovishcheva,,,Conference Room
MAIN FLOOR - Invocation & Schedule IHO Members Week,03/10/2014 12:00,03/10/2014 13:00,01:00,Calgary Brown,"Invocation & Schedule
11:30am-12pm
Main Floor at Impact Hub Oakland
FREE FOR MEMBERS

A relationship has to begin to a proper introduction. Community Host, Roshanda Cummings, will kick off Member Week Off with a warm welcome, a run-down of the week’s events, and the featured opportunities for Impact Hub members to take their co-working to the next level. Members will begin to build an asset map of knowledge / passions / skills they can refer to all week, and HyLo, a online platform that turns co-working spaces into rich resource-sharing networks, will be exclusively launching their beta platform for Impact Hub Oakland!",Main Floor,HUB Oakland Events
UPTOWN - IHO Founders Mtg,03/10/2014 15:00,03/10/2014 17:00,02:00,Calgary Brown,,,Conference Room
Omi Gallery - Artivist dinner w/ Zanele at (Private Event),03/10/2014 18:00,03/10/2014 20:00,02:00,Ashara Ekundayo,,Omi Gallery,HUB Oakland Events
"East Oak - Potential Energy, Inc.",03/11/2014 08:00,03/11/2014 13:00,05:00,Mikayla Weissman,"8 ppl
needs screen and adapter for MacBook presentation

$15 x 5 = $75 TOTAL ",,Conference Room
KITCHEN - Office Member Breakfast IHO Members Week,03/11/2014 09:00,03/11/2014 10:00,01:00,Calgary Brown,"Office Member Breakfast
9am to 10am
Kitchen at Impact Hub Oakland
FOR OUR OFFICE MEMBERS

Are you an Impact Hub Oakland Office Member? We’re throwing a breakfast just for you! Start the day off with a well-balanced breakfast and connect with other Impact Hub Office Co-workers before you head off to work.",Kitchen,HUB Oakland Events
West Oak - CLOSED FOR RENTAL,03/11/2014 09:00,03/11/2014 19:00,10:00,Calgary Brown,"This conference room is closed for rental due to poor sound proofing issues.  It cannot be rented simultaneously with East Oakland.  Staff is working on fixing the issue so that it can be available to rent soon. 

Questions, please contact: calgary@oakland.impacthub.net ",West Oakland Conference Room,Conference Room
Tom Li (510) 418-2341,03/11/2014 11:00,03/11/2014 12:30,01:30,Lisa Chacon,,,Conference Room
MERIDIAN - Office Hours IHO Members Week,03/11/2014 11:00,03/11/2014 13:00,02:00,Calgary Brown,"Office Hours
11am to 1pm
Meridian Conference Room
FREE FOR MEMBERS

Need a breakthrough or advice from an expert? Impact Hub Oakland is bringing back it’s Office Hours Program! Connecting our members with experts in their field, spend 20-30 minutes with fellow members offering their expertise in areas that help you improve your impact. We’ll be adding bios and info about Members Week Experts over the weekend.  SIGN UP BEGINS MONDAY but check out some of our past participating member-experts here!",Meridian Conference Room,HUB Oakland Events
KITCHEN - Torpedo Tuesday Community Lunch IHO Members Week,03/11/2014 12:00,03/11/2014 13:00,01:00,Calgary Brown,"Torpedo Tuesday Community Lunch 
12pm to 1pm
Impact Hub Oakland Kitchen

Your hunger won’t know what hit you. Torpedo Sushi, our sushi neighbor, satisfies Hubber sushi cravings with a large hand-cut sushi roll stuffed with fresh ingredients and bursting with California-inspired flavors. Torpedo Sushi loves Impact Hub Oakland Members so much, every IHO member gets 10% off and (wait for it) they DELIVER directly to our IHO Kitchen. We’ll have menus ready, so put your lunch order in Tuesday morning and join us in the kitchen for a delicious community meal.
 ",Kitchen,HUB Oakland Events
UPTOWN - IvI Analytics Meeting,03/11/2014 14:00,03/11/2014 15:00,01:00,Calgary Brown,luke.pustejovsky@gmail.com,Uptown Conference room,Conference Room
West Oak - CLOSED FOR RENTAL,03/12/2014 09:00,03/12/2014 19:00,10:00,Calgary Brown,"This conference room is closed for rental due to poor sound proofing issues.  It cannot be rented simultaneously with East Oakland.  Staff is working on fixing the issue so that it can be available to rent soon. 

Questions, please contact: calgary@oakland.impacthub.net ",West Oakland Conference Room,Conference Room
OMI GALLERY - Morning Mindful Meditation IHO Members Week,03/12/2014 10:00,03/12/2014 11:00,01:00,Calgary Brown,"Morning Mindful Meditation
10am to 11am
Omi Gallery at Impact Hub Oakland
Donation; Members-Only

Start your Wednesday morning with an hour meditation session at Impact Hub! Release stress, find your emotional balance and start a fresh new day.  Our teacher Vlad Moskovski has been studying yoga and meditation since 2000 and teaching since 2009. He has taught meditation at The Hub Berkeley, Albany YMCA, Spirit Rock Meditation Center and Esalen Institute. Find more information on his website: www.yogamuse.net. Meditators with all experience levels are welcome.",Omi Gallery,HUB Oakland Events
KITCHEN - Full of Grace Hearth Member Lunch IHO Members Week,03/12/2014 12:00,03/12/2014 13:30,01:30,Calgary Brown,"Full of Grace Hearth Member Lunch
12pm to 1:30pm
Kitchen at Impact Hub Oakland

Before you’ve stretched and centered, come nourish yourself with a delicious lunchtime meal from Grace Hearth. Oakland-based & Oakland-Loving, Grace Hearth whips up soul-warming meals with the freshest ingredients that leave us grateful every time. Join us in the kitchen for an a la carte meal and walk away full of grace. Pay what it’s worth.

We are extremely grateful to our community who supports us with their talent and passion. WATCH HERE
",Kitchen,HUB Oakland Events
EAST OAK - TargetX Meeting,03/12/2014 12:00,03/12/2014 14:00,02:00,Calgary Brown,,East Oak conference room,Conference Room
"BROADWAY Main Stage - Mid-Day Strong Body, Strong Impact Workshop",03/12/2014 12:30,03/12/2014 13:30,01:00,Calgary Brown,"Mid-Day Strong Body, Strong Impact Workshop
12:30pm to 1pm
Main Stage

IHO member and owner of The Shift Chiropractic, Ben Glass will share a quick tips and insights on how we can treat our bodies in a way that supports the work we do and the impact we make. He’ll also pass out a tip sheet so you can keep healthy habits going well beyond Wellness Wednesday!
",Main Stage,HUB Oakland Events
OMI GALLERY - Afternoon Gallery Yoga IHO Members Week,03/12/2014 13:00,03/12/2014 14:00,01:00,Calgary Brown,"Afternoon Gallery Yoga
1pm to 2pm
Omi Gallery at Impact Hub Oakland
Donation; Members-Only

What can be better in the afternoon than a yoga class? Join your fellow hubbers for a body and mind stretch session led by the Bay Area beloved environmental activist Alli Chagi-Starr. Bring your mat, yoga clothes and prepare to breath easily!",Omi Gallery,HUB Oakland Events
UPTOWN - Proforma Construction Meeting,03/12/2014 14:30,03/12/2014 15:30,01:00,Calgary Brown,"NOT INVOICED YET - $40/hr

10 ppl

Contact:
Vilma Lejano
925.249.3465 direct  
vilma.lejano@proformaco.com",Uptown Conference Room,Conference Room
OMI GALLERY - Cultivate Awareness: Mindfulness with Augusta,03/12/2014 17:00,03/12/2014 18:00,01:00,Mikayla Weissman,,Omi Gallery,HUB Oakland Events
UPTOWN - Kapor Center Meeting,03/12/2014 18:00,03/12/2014 19:00,01:00,Calgary Brown,"Please charge 1hr x $40 = $40

- 12 ppl
- Contact: cedric@kaporcenter.org
",Uptown,Conference Room
HALLWAY between Main Space & Atrium - Hub Oakland Member Wall,03/13/2014 00:00,03/14/2014 00:00,24:00,Calgary Brown,"Hub Oakland Member Wall
All-day
Main Space at Impact Hub Oakland

The sum being greater than its parts, Impact Hub Oakland’s members are a collective positive force to be reckoned with. Come down to Hub Oakland or take a moment during your co-working day to add your physical profile to the Hub Member Wall. Jot what represents you and get your picture taken at the member",Hallway between Main Space & Atrium,HUB Oakland Events
KITCHEN - Morning Mingle IHO Members Week,03/13/2014 08:00,03/13/2014 09:00,01:00,Calgary Brown,"Calling all early risers! We’re hosting our first Morning Mingle facilitated by Impact Hub Oakland’s Head Host Calgary Brown. Morning Mingles are 1 hour interactive gatherings designed to facilitate connections and knowledge sharing within our community. Come learn about what initiatives members are working on,  generate leads or maybe even find a collaborator/partner for your project!

RSVP: http://www.eventbrite.com/e/morning-mingle-get-connected-tickets-10851086893",Kitchen Area,HUB Oakland Events
UPTOWN - BALLE Team Meeting,03/13/2014 09:00,03/13/2014 17:30,08:30,Calgary Brown,"5 people 

AV - Polycom phone

Contact: Jan Jongkol - jan@bealocalist.org",Uptown Conference Room,Conference Room
West Oak - CLOSED FOR RENTAL,03/13/2014 09:00,03/13/2014 19:00,10:00,Calgary Brown,"This conference room is closed for rental due to poor sound proofing issues.  It cannot be rented simultaneously with East Oakland.  Staff is working on fixing the issue so that it can be available to rent soon. 

Questions, please contact: calgary@oakland.impacthub.net ",West Oakland Conference Room,Conference Room
MERIDIAN - City of Emeryville meeting,03/13/2014 10:00,03/13/2014 13:00,03:00,Calgary Brown,"Charge: 3hrs x $95 = $285

15 ppl

Setup - TBD

Contact: Serenity Siya Mlay, smlay@emeryville.org",Meridian Room,Conference Room
EAST OAK - Samausa private room rental,03/13/2014 14:00,03/13/2014 17:00,03:00,Mikayla Weissman,"Charge - $35/hr x 3 = $105

4 People, they only need markers and whiteboard space

Contact:
tess posner
tposner@samasource.org
202-957-4006",East Oakland meeting room,Conference Room
ENTIRE SPACE - Community Round Tables IHO Members Week,03/13/2014 14:00,03/13/2014 16:00,02:00,Calgary Brown,"Community Round Tables
2pm to 4pm

What challenges do we face as leaders in social change work and what next level leadership is required to experience breakthroughs in our communities, in our cities, and over our land? You’ll want to be in attendance for this roundtable discussion: “Next Level Leadership: Cultivating Our Personal Capacities For Impact”, where you’ll have a chance to dig deep with other leaders and create personal change maps to help you chart your way to your next level.",Entire Space,HUB Oakland Events
BROADWAY Main Stage - BioBlitz Speaker Series,03/13/2014 18:00,03/13/2014 20:00,02:00,Lisa Chacon,"Helpers:
Set up (4:45pm): Jenny Loda, Elisabeth, Estelle, Elizabeth B.
During: Jenny Loda, Elisabeth, Estelle, Elizabeth B., Zochi
After: Elisabeth, Pata Williams, Elizabeth B., Zochi

event 6-8. 
Set up: A/V - projecting with sound. 3 mics",2323 Main Stage,HUB Oakland Events
MERIDIAN - Future Sound Weekly Meeting,03/13/2014 18:30,03/13/2014 20:30,02:00,Lisa Chacon,Please charge Elliot Gann $18 total for the room rental,Meridian Room,HUB Oakland Events
West Oak - CLOSED FOR RENTAL,03/14/2014 09:00,03/14/2014 19:00,10:00,Calgary Brown,"This conference room is closed for rental due to poor sound proofing issues.  It cannot be rented simultaneously with East Oakland.  Staff is working on fixing the issue so that it can be available to rent soon. 

Questions, please contact: calgary@oakland.impacthub.net ",West Oakland Conference Room,Conference Room
MAIN STAGE - Closing Remarks IHO Members Week,03/14/2014 11:45,03/14/2014 12:00,00:15,Calgary Brown,"Closing Remarks
11:45 AM to 12:00 PM
Main Space at Impact Hub Oakland

Our member week might be ending but the good times don’t have to end. Roe, our Community Host, will end our week with a few words of  gratitude for the week (90% chance there’ll be tears of joy) and invite members to party into the weekend with IHO’s last member week social events. TGIF.",Main Stage,HUB Oakland Events
DOWNTOWN - IvI Analytics,03/14/2014 12:00,03/14/2014 14:00,02:00,Calgary Brown,"15 ppl

Contact: luke.pustejovsky@gmail.com",Downtown Conference Room,Conference Room
GOBEE - Uptown - Need projector,03/14/2014 12:00,03/14/2014 16:00,04:00,Tatiana Vekovishcheva,Please charge 4hrs x $40 (full-time rate) = $160,Uptown,Conference Room
Sexy Salad,03/14/2014 12:30,03/14/2014 13:30,01:00,Lisa Chacon,,,HUB Oakland Events
MERIDIAN - New Member Orientation,03/14/2014 13:30,03/14/2014 14:30,01:00,Danielle DeRuiter-Williams,,Meridian Conference Room,Conference Room
MERIDIAN - Maiki Private Meeting,03/14/2014 15:00,03/14/2014 17:00,02:00,Calgary Brown,,,Conference Room
KITCHEN - “Meet the Founders” Happy Hour IHO Members Week,03/14/2014 17:00,03/14/2014 19:00,02:00,Calgary Brown,"Helpers:
Set up: Sierra, nhuanh
During: Sierra, nhuanh
Break down: Sierra

“Meet the Founders” Happy Hour
Friday, March 14th
5:00 PM to 7:00 PM

End your week with plenty of Impact Hub Oakland LOVE! We’ll have libations flowing, snacks and our Founders in the mix for a lively evening of conversation and storytelling. Meet your fellow members and IHO Staff as well.",Kitchen,HUB Oakland Events
Dj Uni Friday Happy Hour- Cynthia Blancaflor,03/14/2014 17:00,03/14/2014 19:00,02:00,Mikayla Weissman,,main stage ,HUB Oakland Events
West Oak - CLOSED FOR RENTAL,03/15/2014 09:00,03/15/2014 19:00,10:00,Calgary Brown,"This conference room is closed for rental due to poor sound proofing issues.  It cannot be rented simultaneously with East Oakland.  Staff is working on fixing the issue so that it can be available to rent soon. 

Questions, please contact: calgary@oakland.impacthub.net ",West Oakland Conference Room,Conference Room
UPTOWN - The Amauta Foundation Strategic Roadmap Meeting,03/15/2014 10:00,03/15/2014 18:00,08:00,Mikayla Weissman,"Joseph Huayllasco
415-519-4144
jhuayllasco@amauta-foundation.org
Total charge $363",Uptown Room,Conference Room
HOLD - Urban Habitat,03/15/2014 15:30,03/15/2014 17:30,02:00,Jackson Meredith,,,HUB Oakland Events
Urban Habitat BCLI Alumni Reception (Omi),03/15/2014 17:30,03/15/2014 19:00,01:30,Danielle DeRuiter-Williams,,,HUB Oakland Events
West Oak - CLOSED FOR RENTAL,03/16/2014 09:00,03/16/2014 19:00,10:00,Calgary Brown,"This conference room is closed for rental due to poor sound proofing issues.  It cannot be rented simultaneously with East Oakland.  Staff is working on fixing the issue so that it can be available to rent soon. 

Questions, please contact: calgary@oakland.impacthub.net ",West Oakland Conference Room,Conference Room
West Oak - CLOSED FOR RENTAL,03/17/2014 09:00,03/17/2014 19:00,10:00,Calgary Brown,"This conference room is closed for rental due to poor sound proofing issues.  It cannot be rented simultaneously with East Oakland.  Staff is working on fixing the issue so that it can be available to rent soon. 

Questions, please contact: calgary@oakland.impacthub.net ",West Oakland Conference Room,Conference Room
HUB Oak Staff Meeting - UPTOWN,03/17/2014 10:00,03/17/2014 12:00,02:00,Tatiana Vekovishcheva,,,Conference Room
MERIDIAN - Open Door IO Mtg,03/17/2014 10:15,03/17/2014 12:15,02:00,Calgary Brown,"No charge

Using 2 free rental hours with organizational membership",Meridian Room,Conference Room
UPTOWN - Maiki Private Meeting,03/17/2014 15:00,03/17/2014 17:00,02:00,Calgary Brown,,Uptown Conference Room,Conference Room
MERIDIAN - Idea To Reality: Everything Is A Product Launch Workshop w/ Majora Carter ,03/17/2014 15:00,03/17/2014 17:30,02:30,Ashara Ekundayo,"Volunteers:
Set up: Benson Njau, Zochi
During: Cynthia & Benson
Clean up: Benson


Idea To Reality: Everything Is A Product Launch Workshop
3:00 - 5:30pm
$25 Impact Hub Members (Oakland, Berkeley, San Fran)
$30 Non-Impact Hub Members 
(Tickets come w/ 1 Free Day Pass to Impact Hub Oakland - http://oakland.impacthub.net/ )

Majora will break down some examples from her career and those of some of her peers, and then work with participants' challenges in a workshop setting where everyone can engage, learn, and see how to adjust your frame of reference in order to more quickly realize your goals.

Whether your goals are a new business, a policy shift in government, a social mission, advanced or early stage project of any kind, your team can benefit by applying a product launch template. Bottlenecks, wasted time and energy, and misaligned goals and assets can all be avoided by adopting some easy steps to examine your path from Mission to Market.

https://ideaworkshopmajoracarter.eventbrite.com/

",MERIDIAN Room,HUB Oakland Events
OMI GALLERY - VIP Reception w/ Majora Carter and StartUp Box,03/17/2014 17:30,03/17/2014 19:00,01:30,Calgary Brown,"Volunteers:
Set Up - Benson Njau leaving at 6:30
During - Arlene Hipp, Zochi

VIP Reception
5:30 - 7:00pm
$75
Join us for a very intimate gathering to welcome Majora Carter and StartUp Box: South Bronx to Oakland's diverse impact investing community over a few bubbles and bites.

TIX Here - https://ideaworkshopmajoracarter.eventbrite.com/",Omi Gallery,HUB Oakland Events
"BROADWAY Main Stage - ""On-Shoring Access"" Community Fundraising Panel w/ Majora Carter",03/17/2014 19:00,03/17/2014 21:00,02:00,Calgary Brown,"Helpers:
Set up:
Event: Estelle
Break down: Estelle

TIX Here - https://ideaworkshopmajoracarter.eventbrite.com/

""On-Shoring Access"" Community Fundraising Panel
7:00 - 9:30pm
FREE 

Majora Carter, social-venture partner Nate Altschul (Director of Game Development at Nickelodeon), and Sean Daniel Murphy, President at FundGoodJobs.com will talk about how to 'on-shore' accessible tech jobs into the South Bronx and areas like it (such as Oakland, CA) now - with minimal up front training for individuals and great corporate partners who all benefit from expert real-world experiences in harnessing economic opportunities for everyone. Moderated by @Ashara Ekundayo, Co-Founder/Chief Creative Officer at Impact Hub Oakland.

About the Presenters:

@Majora Carter
Majora Carter is an unlikely success story - youngest of 10 children who grew up in the South Bronx while it was burning. She says the success of her varied accomplishments - SSBx.org, MacArthur ""genius"" Fellowship, public radio series heard on over 150 station across the US, Peabody Award, on of the six TED talks chosen to launch that groundbreaking website in 2006, plus accolades from organizations as diverse as Rupert Murdoch's NewsCorp, and John Podesta's Center for American Progress - can be traced to a consistent approach that she applies to all her projects.

Watch Majora's ""Greening the Ghetto"" TED talk HERE! 

Sean Daniel Murphy
As President & Managing Director of Fund Good Jobs, Sean is leading the charge for positive disruption in small business funding. His vision is to create an innovative model that will have global impact on good job creation for those who need it most.

Prior to Fund Good Jobs, Sean was the COO at Inner City Advisors (ICA). Sean joined the ICA Staff in 2009 as Portfolio Manager and created a sustainable model for the organization to effectively scale its programs impact through best practices in mission-ROI due diligence processes, impact tracking, and capital readiness. Sean managed $163M total revenues, facilitated 50+ unique financing transactions and served as a strategic advisor to hundreds of small businesses. He has also led operation planning sessions for start-ups in Canada, Europe, Africa and the San Francisco Bay Area.

@Nate Altschul 
Nate Altschul is currently the Director of Game Development at Nісkеlоdеоn, where he is responsible for the development of 100+ games annually across a variety of platforms. A game industry veteran, he has been developing casual games, multiplayer games (MMO), and virtual worlds for over 15 years. His award-winning work spans past clients that include Nike, Leapfrog, MLB, Nеоpets, PBS, Wrigley, and Discovery Channel. And games developed at Nісkеlоdеоn games (such as, PеtPеt Pаrk and Nісktrоpоlіs) won 4 Webby Awards and 2 Parents’ Choice Awards. He currently has 2 patents pending for game-related inventions. A graduate of UC Berkeley, he has lived in New York City since 2004, where he founded the HTML5 Games Group and the Cross-Platform Games Group.

TIX Here - https://ideaworkshopmajoracarter.eventbrite.com/

Community Partners:
Impact Hub Oakland
Fund good jobs.
Inner City Advisors
@The Majora Carter Group(",BROADWAY Main Stage,HUB Oakland Events
West Oak - CLOSED FOR RENTAL,03/18/2014 09:00,03/18/2014 19:00,10:00,Calgary Brown,"This conference room is closed for rental due to poor sound proofing issues.  It cannot be rented simultaneously with East Oakland.  Staff is working on fixing the issue so that it can be available to rent soon. 

Questions, please contact: calgary@oakland.impacthub.net ",West Oakland Conference Room,Conference Room
EAST OAK - Blue Bottle Coffee Mtg,03/18/2014 11:00,03/18/2014 16:00,05:00,Calgary Brown,"Charge $125 (4hrs x $25/hr)

Contact - Nico, nico@bluebottlecoffee.com

Screen, whiteboard/dry erase pens ",East Oak Conf Room,Conference Room
UPTOWN - BALLE Mtg,03/18/2014 11:00,03/18/2014 12:00,01:00,Calgary Brown,"Contact: 

Koy Hardy koy@bealocalist.org",Uptown conf Room,Conference Room
OMI GALLERY - Pachamama Watch Party,03/18/2014 11:30,03/18/2014 13:00,01:30,Ashara Ekundayo,"Helpers:
Set up: Nathan, Pata Williams
During: Nathan, Pata Williams
After: Nathan, Pata Williams",Omi Gallery,HUB Oakland Events
OMI GALLERY - mtg w/ Gail,03/18/2014 13:00,03/18/2014 14:00,01:00,Ashara Ekundayo,,Omi Gallery,HUB Oakland Events
MERIDIAN - Strategic Planning for Startups Workshop with Friday Consulting,03/18/2014 15:00,03/18/2014 17:30,02:30,Mikayla Weissman,Mikayla pitching,,HUB Oakland Events
MERIDIAN - Strategic Planning for Startups Workshop with Friday Consulting,03/18/2014 15:00,03/18/2014 17:30,02:30,Mikayla Weissman,,,Conference Room
UPTOWN - Maiki Mtg,03/18/2014 16:00,03/18/2014 17:00,01:00,Calgary Brown,,,Conference Room
OMI GALLERY (Private) - ULI Fireside Chat ,03/18/2014 18:00,03/18/2014 19:30,01:30,Mikayla Weissman,30 chairs in a circle,Omi Galley ,HUB Oakland Events
JINGLETOWN LOUNGE - Many Faces One Dream Info Mixer,03/18/2014 18:30,03/18/2014 20:00,01:30,Ashara Ekundayo,"Helpers:
Set up: Kai
During: Kai
Break Down: Kai

peggy moore - moore4oakland.gmail.com
$50 total paid on cc day of
flatscreen (peggy will bring portable p.a.)
arrival at 530
IHO creates eventbrite - 
Ashara pitching

- https://manyfacesonedreammixer.eventbrite.com",Jingletown Lounge,HUB Oakland Events
West Oak - CLOSED FOR RENTAL,03/19/2014 09:00,03/19/2014 19:00,10:00,Calgary Brown,"This conference room is closed for rental due to poor sound proofing issues.  It cannot be rented simultaneously with East Oakland.  Staff is working on fixing the issue so that it can be available to rent soon. 

Questions, please contact: calgary@oakland.impacthub.net ",West Oakland Conference Room,Conference Room
UPTOWN - Sweetbar Mtg,03/19/2014 10:30,03/19/2014 11:30,01:00,Calgary Brown,,,Conference Room
MERIDIAN - Maiki Private Mtg,03/19/2014 14:00,03/19/2014 15:00,01:00,Calgary Brown,,Meridian Conference room,Conference Room
UPTOWN - Konda Mason Mtg,03/19/2014 15:00,03/19/2014 16:30,01:30,Calgary Brown,,Uptown Conference Room,Conference Room
MERIDIAN ROOM - Planting Justice Permaculture Conversation,03/19/2014 18:00,03/19/2014 20:00,02:00,Mikayla Weissman,Theater style seating for 30. Projector needed.,Meridian,HUB Oakland Events
West Oak - CLOSED FOR RENTAL,03/20/2014 09:00,03/20/2014 19:00,10:00,Calgary Brown,"This conference room is closed for rental due to poor sound proofing issues.  It cannot be rented simultaneously with East Oakland.  Staff is working on fixing the issue so that it can be available to rent soon. 

Questions, please contact: calgary@oakland.impacthub.net ",West Oakland Conference Room,Conference Room
MERIDIAN ROOM - Rob Gall - Meridian Meeting,03/20/2014 10:00,03/20/2014 17:30,07:30,Rob Gall,,,Conference Room
UPTOWN - Mani Niall / Sweet Bar (no charge),03/20/2014 10:30,03/20/2014 11:30,01:00,Lisa Chacon,,,Conference Room
GALLERY Foundation Training: 15 min movement break ,03/20/2014 11:30,03/20/2014 12:00,00:30,Calgary Brown,daytime workshop by member - free use of conference room,,HUB Oakland Events
GALLERY Foundation Training: 15 min movement break ,03/20/2014 11:30,03/20/2014 12:00,00:30,Calgary Brown,daytime workshop by member - free use of conference room,,Conference Room
UPTOWN - Konda Mason Private Meeting,03/20/2014 14:30,03/20/2014 15:30,01:00,Calgary Brown,"No Charge - Staff member booking

Contact - konda@oakland.impacthub.net (CEO/Founder) ",Uptown conference room,Conference Room
Set Up for Ever Forward Club,03/20/2014 16:00,03/20/2014 18:00,02:00,Mikayla Weissman,,,HUB Oakland Events
HOLD OMI Gallery - Happiness Gathering for International Day of Happiness,03/20/2014 18:00,03/20/2014 19:30,01:30,Calgary Brown,"Message from: Neelam Patil <neelambpatil@gmail.com>

Dear Hub Oakland,

I am writing from the Art of Living Foundation, and would like to know if you would like to partner with us to celebrate the International Day of Happiness. The United Nations deemed March 20th the International Day of Happiness. See below for our plans. If we were to partner with you, we would love to have it at the HUB Impact Oakland, and invite your community. 

Happiness Gathering for International Day of Happiness

Thursday, March 20, 2014
7:00 PM to 8:30 PM

Berkeley Happiness Center
2424 Spaulding Ave, Berkeley, CA

The United Nations has named March 20th the International Day of Happiness.  What does it take for you to be happy? Come share and reflect.

The Art of Living Foundation, founder of ""The Happiness Program,"" celebrates with a Happiness Gathering. 

Breath, meditate, and celebrate. Be free, be light, now! Learn simple tools and techniques to rid the mind of stress and be Happy! 35 years ago Sri Sri Ravi Shankar started teaching people the Sudarshan Kriya- a purifying breathing technique. Since then millions around the world have learned it.  Dubbed the fastest growing spiritual movement on earth, we will be hosting our very own Happiness Program in Berkeley, April 17-21. Details here.",OMI Gallery,Conference Room
ON BROADWAY - The Ever Forward Club Banquet - Private Event,03/20/2014 18:00,03/20/2014 20:00,02:00,Mikayla Weissman,,,HUB Oakland Events
MERIDIAN - Future Sound,03/20/2014 18:30,03/20/2014 20:30,02:00,Calgary Brown,,Meridian Room,Conference Room
GALLERY - International Day of Happiness - Art of Living Foundation,03/20/2014 19:00,03/20/2014 20:30,01:30,Mikayla Weissman,,,HUB Oakland Events
West Oak - CLOSED FOR RENTAL,03/21/2014 09:00,03/21/2014 19:00,10:00,Calgary Brown,"This conference room is closed for rental due to poor sound proofing issues.  It cannot be rented simultaneously with East Oakland.  Staff is working on fixing the issue so that it can be available to rent soon. 

Questions, please contact: calgary@oakland.impacthub.net ",West Oakland Conference Room,Conference Room
MERIDIAN ROOM - BALLE Mtg,03/21/2014 10:00,03/21/2014 12:30,02:30,Calgary Brown,,Meridian Conference Rm,Conference Room
UPTOWN - Blue Bottle: Meeting,03/21/2014 10:00,03/21/2014 15:00,05:00,Roshanda Cummings,"Charge: $65 x 5 = $325 

Contact: Nico Dery
phone number: 415.238.0821

currently non-member.",,Conference Room
BACK OFFICE - Proforma Construction Meeting,03/21/2014 10:00,03/21/2014 12:00,02:00,Calgary Brown,"NOT INVOICED YET - $40/hr

10 ppl

Contact:
Vilma Lejano
925.249.3465 direct  
vilma.lejano@proformaco.com",Uptown Conference Room,Conference Room
DOWNTOWN - Co-Fed ,03/21/2014 11:00,03/21/2014 15:15,04:15,Tatiana Vekovishcheva,$25 x 4.25hrs =$106.25 total ,,Conference Room
Sexy Salad,03/21/2014 12:30,03/21/2014 13:30,01:00,Lisa Chacon,,,HUB Oakland Events
MERIDIAN - Orientation,03/21/2014 13:30,03/21/2014 14:30,01:00,Danielle DeRuiter-Williams,,Meridian Room,Conference Room
MERIDIAN - BALLE Mtg,03/21/2014 14:30,03/21/2014 15:30,01:00,Calgary Brown,,Meridian Conf Room,Conference Room
OMI GALLERY - Foundation Training: 15 min movement break ,03/21/2014 15:00,03/21/2014 15:15,00:15,Calgary Brown,daytime workshop by member - free use of conference room,Omi Gallery ,HUB Oakland Events
UPTOWN - Co Fed,03/21/2014 15:15,03/21/2014 17:30,02:15,Calgary Brown,,Uptown conf room,Conference Room
DOWNTOWN - Fair Trade Oak,03/21/2014 17:00,03/21/2014 18:00,01:00,Mikayla Weissman,,,Conference Room
Co-Fed - Downtown,03/22/2014 08:00,03/22/2014 19:00,11:00,Tatiana Vekovishcheva,"$25 x 11hrs = $275 total 

check on this one . .  .",,Conference Room
West Oak - CLOSED FOR RENTAL,03/22/2014 09:00,03/22/2014 19:00,10:00,Calgary Brown,"This conference room is closed for rental due to poor sound proofing issues.  It cannot be rented simultaneously with East Oakland.  Staff is working on fixing the issue so that it can be available to rent soon. 

Questions, please contact: calgary@oakland.impacthub.net ",West Oakland Conference Room,Conference Room
Late Nite Art - Equinox,03/22/2014 19:30,03/22/2014 22:30,03:00,Lisa Chacon,Ashara pitching,,HUB Oakland Events
Co-Fed - Downtown,03/23/2014 09:00,03/23/2014 16:00,07:00,Tatiana Vekovishcheva,$25 x 7hrs = $175 total,,Conference Room
West Oak - CLOSED FOR RENTAL,03/23/2014 09:00,03/23/2014 19:00,10:00,Calgary Brown,"This conference room is closed for rental due to poor sound proofing issues.  It cannot be rented simultaneously with East Oakland.  Staff is working on fixing the issue so that it can be available to rent soon. 

Questions, please contact: calgary@oakland.impacthub.net ",West Oakland Conference Room,Conference Room
